mode: set
dbruntime/config.go:16.40,20.2 1 1
dbruntime/dbruntime.go:192.2,192.42 1 0
dbruntime/dbruntime.go:196.60,197.22 1 1
dbruntime/dbruntime.go:197.22,199.3 1 1
dbruntime/dbruntime.go:200.2,200.38 1 0
dbruntime/dbruntime.go:204.50,206.2 1 1
dbruntime/dbruntime.go:209.13,246.42 3 0
dbruntime/dbruntime.go:246.42,249.3 2 0
dbruntime/dbruntime.go:250.2,254.49 3 0
dbruntime/dbruntime.go:254.49,257.3 2 0
dbruntime/dbruntime.go:259.2,265.16 5 0
dbruntime/dbruntime.go:265.16,268.3 2 0
dbruntime/dbruntime.go:270.2,271.61 2 0
dbruntime/errors.go:17.40,18.18 1 1
dbruntime/errors.go:18.18,20.3 1 1
dbruntime/errors.go:21.2,21.49 1 0
dbruntime/errors.go:24.40,26.2 1 1
dbruntime/errors.go:42.71,48.2 1 1
dbruntime/errors.go:51.39,53.28 2 1
dbruntime/errors.go:53.28,54.21 1 1
dbruntime/errors.go:55.48,56.15 1 1
dbruntime/errors.go:59.2,59.14 1 1
dbruntime/errors.go:63.44,65.28 2 1
dbruntime/errors.go:65.28,67.3 1 1
dbruntime/errors.go:68.2,68.14 1 1
dbruntime/errors.go:72.55,73.16 1 1
dbruntime/errors.go:73.16,75.3 1 1
dbruntime/errors.go:76.2,76.45 1 1
dbruntime/errors.go:85.58,87.2 1 1
dbruntime/errors.go:90.71,91.31 1 1
dbruntime/errors.go:91.31,93.46 1 1
dbruntime/errors.go:93.46,95.4 1 1
dbruntime/errors.go:99.2,99.52 1 0
dbruntime/errors.go:99.52,101.3 1 0
dbruntime/errors.go:103.2,103.12 1 0
dbruntime/errors.go:107.76,108.16 1 1
dbruntime/errors.go:108.16,110.3 1 1
dbruntime/errors.go:113.2,113.32 1 1
dbruntime/errors.go:113.32,116.49 2 0
dbruntime/errors.go:116.49,118.4 1 0
dbruntime/errors.go:119.3,119.13 1 0
dbruntime/errors.go:123.2,123.27 1 1
dbruntime/errors.go:123.27,125.65 1 0
dbruntime/errors.go:125.65,127.4 1 0
dbruntime/errors.go:129.3,129.13 1 0
dbruntime/errors.go:132.2,132.12 1 1
dbruntime/examples.go:12.26,21.74 2 0
dbruntime/examples.go:21.74,23.3 1 0
dbruntime/examples.go:26.2,27.42 2 0
dbruntime/examples.go:27.42,29.3 1 0
dbruntime/examples.go:30.2,36.16 4 0
dbruntime/examples.go:36.16,38.3 1 0
dbruntime/examples.go:39.2,39.43 1 0
dbruntime/examples.go:43.31,49.42 3 0
dbruntime/examples.go:49.42,51.3 1 0
dbruntime/examples.go:52.2,58.62 4 0
dbruntime/examples.go:58.62,61.17 2 0
dbruntime/examples.go:61.17,63.4 1 0
dbruntime/examples.go:66.3,67.13 2 0
dbruntime/examples.go:70.2,70.16 1 0
dbruntime/examples.go:70.16,72.3 1 0
dbruntime/examples.go:76.38,83.42 3 0
dbruntime/examples.go:83.42,85.3 1 0
dbruntime/examples.go:86.2,92.16 4 0
dbruntime/examples.go:92.16,94.3 1 0
dbruntime/examples.go:95.2,98.27 2 0
dbruntime/examples.go:98.27,102.46 4 0
dbruntime/examples.go:102.46,103.28 1 0
dbruntime/examples.go:103.28,104.13 1 0
dbruntime/examples.go:106.4,107.12 2 0
dbruntime/examples.go:109.3,109.40 1 0
dbruntime/examples.go:114.27,120.42 3 0
dbruntime/examples.go:120.42,122.3 1 0
dbruntime/examples.go:123.2,128.27 3 0
dbruntime/examples.go:128.27,130.3 1 0
dbruntime/examples.go:133.2,139.55 7 0
dbruntime/examples.go:143.31,149.42 3 0
dbruntime/examples.go:149.42,151.3 1 0
dbruntime/examples.go:152.2,163.35 7 0
dbruntime/examples.go:167.34,174.42 3 0
dbruntime/examples.go:174.42,176.3 1 0
dbruntime/examples.go:177.2,182.26 3 0
dbruntime/examples.go:182.26,188.17 4 0
dbruntime/examples.go:188.17,190.4 1 0
dbruntime/examples.go:192.3,192.30 1 0
dbruntime/examples.go:197.33,203.42 3 0
dbruntime/examples.go:203.42,205.3 1 0
dbruntime/examples.go:206.2,219.116 6 0
dbruntime/examples.go:219.116,221.61 2 0
dbruntime/examples.go:221.61,223.4 1 0
dbruntime/examples.go:224.3,225.13 2 0
dbruntime/examples.go:228.2,228.16 1 0
dbruntime/examples.go:228.16,230.3 1 0
dbruntime/examples.go:232.2,232.51 1 0
dbruntime/gate.go:60.60,66.2 1 1
dbruntime/gate.go:83.60,85.50 1 1
dbruntime/gate.go:85.50,87.3 1 0
dbruntime/gate.go:90.2,90.47 1 1
dbruntime/gate.go:90.47,93.3 2 0
dbruntime/gate.go:96.2,96.55 1 1
dbruntime/gate.go:96.55,99.3 2 0
dbruntime/gate.go:101.2,101.12 1 1
dbruntime/gate.go:105.37,107.2 1 0
dbruntime/gate.go:110.43,112.2 1 1
dbruntime/gate.go:115.43,118.2 2 1
dbruntime/gate.go:121.42,123.2 1 1
dbruntime/gate.go:126.60,134.19 2 1
dbruntime/gate.go:134.19,135.29 1 1
dbruntime/gate.go:135.29,137.4 1 1
dbruntime/gate.go:138.3,138.30 1 1
dbruntime/gate.go:138.30,140.4 1 1
dbruntime/gate.go:141.3,141.33 1 1
dbruntime/gate.go:141.33,143.4 1 1
dbruntime/gate.go:146.2,146.11 1 1
dbruntime/gate.go:150.41,155.15 4 1
dbruntime/gate.go:156.19,159.55 2 0
dbruntime/gate.go:159.55,162.31 3 0
dbruntime/gate.go:162.31,164.5 1 0
dbruntime/gate.go:165.4,166.14 2 0
dbruntime/gate.go:168.3,169.24 2 0
dbruntime/gate.go:171.23,172.13 1 0
dbruntime/gate.go:174.21,175.13 1 1
dbruntime/gate.go:178.2,178.12 1 0
dbruntime/gate.go:182.43,185.30 2 1
dbruntime/gate.go:185.30,189.30 4 0
dbruntime/gate.go:189.30,191.4 1 0
dbruntime/gate.go:192.3,192.17 1 0
dbruntime/gate.go:193.8,193.35 1 1
dbruntime/gate.go:193.35,195.3 1 1
dbruntime/gate.go:199.43,207.30 6 1
dbruntime/gate.go:207.30,210.30 2 0
dbruntime/gate.go:210.30,212.4 1 0
dbruntime/gate.go:213.8,213.70 1 1
dbruntime/gate.go:213.70,215.30 2 1
dbruntime/gate.go:215.30,217.4 1 0
dbruntime/gate.go:222.42,224.15 2 1
dbruntime/gate.go:225.21,226.18 1 1
dbruntime/gate.go:227.19,228.16 1 1
dbruntime/gate.go:229.23,230.21 1 0
dbruntime/gate.go:232.2,232.18 1 0
dbruntime/gate.go:236.54,243.54 2 1
dbruntime/gate.go:243.54,246.3 2 1
dbruntime/gate.go:248.2,249.11 2 1
dbruntime/gate.go:253.38,262.21 6 1
dbruntime/gate.go:262.21,265.3 2 0
dbruntime/gate.go:267.2,267.19 1 1
dbruntime/gate.go:267.19,270.3 2 1
dbruntime/gate.go:272.2,272.29 1 0
dbruntime/gate.go:276.66,281.58 2 1
dbruntime/gate.go:281.58,283.3 1 1
dbruntime/gate.go:285.2,285.11 1 1
dbruntime/gate.go:289.46,293.67 3 1
dbruntime/gate.go:293.67,295.3 1 1
dbruntime/gate.go:297.2,298.12 2 1
dbruntime/gate.go:302.40,304.2 1 1
dbruntime/gate.go:307.57,309.2 1 0
dbruntime/gate.go:316.14,320.40 2 1
dbruntime/gate.go:320.40,322.3 1 0
dbruntime/gate.go:325.2,327.16 2 1
dbruntime/gate.go:327.16,330.3 2 1
dbruntime/gate.go:332.2,333.20 2 1
dbruntime/gate.go:336.28,337.11 1 0
dbruntime/gate.go:337.11,339.3 1 0
dbruntime/gate.go:340.2,340.10 1 0
dbruntime/monitor.go:33.70,40.2 1 0
dbruntime/monitor.go:43.57,47.2 3 0
dbruntime/monitor.go:50.46,52.15 2 0
dbruntime/monitor.go:52.15,55.3 2 0
dbruntime/monitor.go:56.2,59.23 3 0
dbruntime/monitor.go:63.26,66.16 3 0
dbruntime/monitor.go:66.16,68.3 1 0
dbruntime/monitor.go:69.2,70.19 2 0
dbruntime/monitor.go:74.52,78.6 3 0
dbruntime/monitor.go:78.6,79.10 1 0
dbruntime/monitor.go:80.19,81.25 1 0
dbruntime/monitor.go:82.21,83.10 1 0
dbruntime/monitor.go:84.21,85.10 1 0
dbruntime/monitor.go:91.55,110.37 7 0
dbruntime/monitor.go:110.37,112.3 1 0
dbruntime/monitor.go:115.2,115.21 1 0
dbruntime/monitor.go:115.21,123.38 2 0
dbruntime/monitor.go:123.38,125.4 1 0
dbruntime/monitor.go:129.2,130.29 2 0
dbruntime/monitor.go:130.29,137.38 2 0
dbruntime/monitor.go:137.38,139.4 1 0
dbruntime/monitor.go:143.2,143.42 1 0
dbruntime/monitor.go:143.42,150.38 2 0
dbruntime/monitor.go:150.38,152.4 1 0
dbruntime/monitor.go:157.49,158.20 1 0
dbruntime/monitor.go:159.24,160.85 1 0
dbruntime/monitor.go:161.30,162.92 1 0
dbruntime/monitor.go:163.22,164.85 1 0
dbruntime/monitor.go:165.10,167.31 1 0
dbruntime/monitor.go:167.31,176.4 2 0
dbruntime/open.go:70.70,79.30 2 1
dbruntime/open.go:79.30,81.3 1 1
dbruntime/open.go:82.2,82.30 1 1
dbruntime/open.go:82.30,84.3 1 1
dbruntime/open.go:85.2,85.33 1 1
dbruntime/open.go:85.33,87.3 1 1
dbruntime/open.go:88.2,88.33 1 1
dbruntime/open.go:88.33,90.3 1 1
dbruntime/open.go:91.2,91.40 1 1
dbruntime/open.go:91.40,93.3 1 1
dbruntime/open.go:94.2,94.34 1 1
dbruntime/open.go:94.34,96.3 1 1
dbruntime/open.go:97.2,97.35 1 1
dbruntime/open.go:97.35,99.3 1 1
dbruntime/open.go:100.2,100.35 1 1
dbruntime/open.go:100.35,102.3 1 1
dbruntime/open.go:104.2,104.11 1 1
dbruntime/open.go:108.43,112.18 3 1
dbruntime/open.go:112.18,114.3 1 0
dbruntime/open.go:117.2,118.16 2 1
dbruntime/open.go:118.16,120.3 1 1
dbruntime/open.go:123.2,132.44 7 0
dbruntime/open.go:132.44,135.3 2 0
dbruntime/open.go:137.2,140.35 2 0
dbruntime/open.go:140.35,142.3 1 0
dbruntime/open.go:145.2,145.37 1 0
dbruntime/open.go:145.37,147.3 1 0
dbruntime/open.go:149.2,149.12 1 0
dbruntime/open.go:153.50,154.26 1 0
dbruntime/open.go:154.26,156.3 1 0
dbruntime/open.go:157.2,162.34 4 0
dbruntime/open.go:162.34,165.3 2 0
dbruntime/open.go:168.2,168.81 1 0
dbruntime/open.go:168.81,170.17 2 0
dbruntime/open.go:170.17,171.12 1 0
dbruntime/open.go:173.3,173.15 1 0
dbruntime/open.go:178.88,179.18 1 0
dbruntime/open.go:179.18,181.3 1 0
dbruntime/open.go:183.2,184.16 2 0
dbruntime/open.go:184.16,186.3 1 0
dbruntime/open.go:189.2,189.25 1 0
dbruntime/open.go:189.25,190.58 1 0
dbruntime/open.go:190.58,193.4 2 0
dbruntime/open.go:197.2,197.35 1 0
dbruntime/open.go:197.35,199.3 1 0
dbruntime/open.go:201.2,201.18 1 0
dbruntime/open.go:205.62,217.2 5 0
dbruntime/open.go:220.64,226.2 3 0
dbruntime/open.go:229.44,233.28 3 1
dbruntime/open.go:233.28,235.3 1 0
dbruntime/open.go:237.2,237.18 1 1
dbruntime/open.go:237.18,238.39 1 0
dbruntime/open.go:238.39,240.4 1 0
dbruntime/open.go:241.3,241.14 1 0
dbruntime/open.go:244.2,245.12 2 1
dbruntime/open.go:249.43,253.2 3 0
dbruntime/open.go:256.60,257.33 1 1
dbruntime/open.go:257.33,259.3 1 1
dbruntime/open.go:261.2,265.3 1 0
dbruntime/open.go:269.54,270.15 1 0
dbruntime/open.go:270.15,272.3 1 0
dbruntime/open.go:274.2,274.12 1 0
dbruntime/open.go:274.12,278.7 3 0
dbruntime/open.go:278.7,279.11 1 0
dbruntime/open.go:280.20,281.22 1 0
dbruntime/open.go:282.23,283.11 1 0
dbruntime/open.go:290.32,291.15 1 0
dbruntime/open.go:291.15,293.3 1 0
dbruntime/open.go:294.2,294.20 1 0
dbruntime/open.go:298.59,303.45 4 0
dbruntime/open.go:303.45,305.32 2 0
dbruntime/open.go:305.32,306.30 1 0
dbruntime/open.go:306.30,308.5 1 0
dbruntime/open.go:314.74,321.2 1 1
dbruntime/open.go:324.84,329.37 4 0
dbruntime/open.go:329.37,332.17 3 0
dbruntime/open.go:332.17,334.4 1 0
dbruntime/open.go:335.3,336.51 2 0
dbruntime/open.go:339.2,339.85 1 0
dbruntime/utils.go:16.58,18.2 1 1
dbruntime/utils.go:21.126,23.16 2 0
dbruntime/utils.go:23.16,25.3 1 0
dbruntime/utils.go:26.2,28.18 2 0
dbruntime/utils.go:28.18,29.40 1 0
dbruntime/utils.go:29.40,31.4 1 0
dbruntime/utils.go:34.2,34.19 1 0
dbruntime/utils.go:38.128,41.2 2 0
dbruntime/utils.go:44.110,46.2 1 0
dbruntime/utils.go:49.93,51.16 2 0
dbruntime/utils.go:51.16,53.3 1 0
dbruntime/utils.go:55.2,55.15 1 0
dbruntime/utils.go:55.15,56.31 1 0
dbruntime/utils.go:56.31,58.12 2 0
dbruntime/utils.go:59.9,59.24 1 0
dbruntime/utils.go:59.24,61.4 1 0
dbruntime/utils.go:61.9,63.4 1 0
dbruntime/utils.go:66.2,67.12 2 0
dbruntime/utils.go:80.54,88.2 1 1
dbruntime/utils.go:91.39,132.2 1 1
dbruntime/utils.go:144.73,150.49 2 1
dbruntime/utils.go:150.49,155.3 4 1
dbruntime/utils.go:156.2,160.23 3 0
dbruntime/utils.go:160.23,165.3 4 0
dbruntime/utils.go:166.2,170.55 3 0
dbruntime/utils.go:170.55,174.3 3 0
dbruntime/utils.go:176.2,178.15 3 0
dbruntime/utils.go:182.100,184.2 1 1
dbruntime/utils.go:187.99,191.53 3 1
dbruntime/utils.go:191.53,192.18 1 1
dbruntime/utils.go:192.18,193.11 1 1
dbruntime/utils.go:194.22,195.21 1 1
dbruntime/utils.go:196.38,196.38 0 1
dbruntime/utils.go:198.4,198.23 1 1
dbruntime/utils.go:201.3,201.30 1 1
dbruntime/utils.go:201.30,203.4 1 1
dbruntime/utils.go:203.9,205.4 1 1
dbruntime/utils.go:208.2,208.74 1 1
